review,sentiment
This was one of the worst movies I have ever seen. Waste of time and money. (Instance 70),negative
I loved this film. It kept me on the edge of my seat the entire time. Highly recommended! (Instance 71),positive
"Terrible acting, boring plot, and awful directing. Avoid this film at all costs. (Instance 71)",negative
"A masterpiece of cinema. The directing, cinematography, and score were all top-notch. (Instance 72)",positive
"I fell asleep halfway through. It was slow, uninspiring, and completely predictable. (Instance 72)",negative
One of the best movies of the year. The characters were well-developed and the story was heartwarming. (Instance 73),positive
A major disappointment. The trailer was much better than the actual movie. (Instance 73),negative
Really enjoyed it. A fun and entertaining watch for the whole family. (Instance 74),positive
Very poorly written. The dialogue felt forced and the characters were annoying. (Instance 74),negative
The performances were stellar. A beautiful story about love and loss. (Instance 75),positive
The special effects were cheap and the acting was wooden. Very disappointing. (Instance 75),negative
I was pleasantly surprised. I went in with low expectations but walked out very happy. (Instance 76),positive
I couldn't stand the main character. The plot made absolutely no sense. (Instance 76),negative
Great movie! The visual effects were amazing and the pacing was just right. (Instance 77),positive
A total mess. The pacing was terrible and it tried to do too many things at once. (Instance 77),negative
A solid 9/10. Highly original script and excellent acting from the lead roles. (Instance 78),positive
"Do not waste your time. It is a cliché-ridden, unoriginal, and dull film. (Instance 78)",negative
I've watched this movie three times now and it never gets old. Truly a classic. (Instance 79),positive
"I wanted to like this, but the ending was completely unsatisfying and ruined it. (Instance 79)",negative
This was an absolutely fantastic movie! The acting was superb and the plot was incredibly engaging. (Instance 80),positive
This was one of the worst movies I have ever seen. Waste of time and money. (Instance 80),negative
I loved this film. It kept me on the edge of my seat the entire time. Highly recommended! (Instance 81),positive
"Terrible acting, boring plot, and awful directing. Avoid this film at all costs. (Instance 81)",negative
"A masterpiece of cinema. The directing, cinematography, and score were all top-notch. (Instance 82)",positive
"I fell asleep halfway through. It was slow, uninspiring, and completely predictable. (Instance 82)",negative
One of the best movies of the year. The characters were well-developed and the story was heartwarming. (Instance 83),positive
A major disappointment. The trailer was much better than the actual movie. (Instance 83),negative
Really enjoyed it. A fun and entertaining watch for the whole family. (Instance 84),positive
Very poorly written. The dialogue felt forced and the characters were annoying. (Instance 84),negative
The performances were stellar. A beautiful story about love and loss. (Instance 85),positive
The special effects were cheap and the acting was wooden. Very disappointing. (Instance 85),negative
I was pleasantly surprised. I went in with low expectations but walked out very happy. (Instance 86),positive
I couldn't stand the main character. The plot made absolutely no sense. (Instance 86),negative
Great movie! The visual effects were amazing and the pacing was just right. (Instance 87),positive
A total mess. The pacing was terrible and it tried to do too many things at once. (Instance 87),negative
A solid 9/10. Highly original script and excellent acting from the lead roles. (Instance 88),positive
"Do not waste your time. It is a cliché-ridden, unoriginal, and dull film. (Instance 88)",negative
I've watched this movie three times now and it never gets old. Truly a classic. (Instance 89),positive
"I wanted to like this, but the ending was completely unsatisfying and ruined it. (Instance 89)",negative
This was an absolutely fantastic movie! The acting was superb and the plot was incredibly engaging. (Instance 90),positive
This was one of the worst movies I have ever seen. Waste of time and money. (Instance 90),negative
I loved this film. It kept me on the edge of my seat the entire time. Highly recommended! (Instance 91),positive
"Terrible acting, boring plot, and awful directing. Avoid this film at all costs. (Instance 91)",negative
"A masterpiece of cinema. The directing, cinematography, and score were all top-notch. (Instance 92)",positive
"I fell asleep halfway through. It was slow, uninspiring, and completely predictable. (Instance 92)",negative
One of the best movies of the year. The characters were well-developed and the story was heartwarming. (Instance 93),positive
A major disappointment. The trailer was much better than the actual movie. (Instance 93),negative
Really enjoyed it. A fun and entertaining watch for the whole family. (Instance 94),positive
Very poorly written. The dialogue felt forced and the characters were annoying. (Instance 94),negative
The performances were stellar. A beautiful story about love and loss. (Instance 95),positive
The special effects were cheap and the acting was wooden. Very disappointing. (Instance 95),negative
I was pleasantly surprised. I went in with low expectations but walked out very happy. (Instance 96),positive
I couldn't stand the main character. The plot made absolutely no sense. (Instance 96),negative
Great movie! The visual effects were amazing and the pacing was just right. (Instance 97),positive
A total mess. The pacing was terrible and it tried to do too many things at once. (Instance 97),negative
A solid 9/10. Highly original script and excellent acting from the lead roles. (Instance 98),positive
"Do not waste your time. It is a cliché-ridden, unoriginal, and dull film. (Instance 98)",negative
I've watched this movie three times now and it never gets old. Truly a classic. (Instance 99),positive
"I wanted to like this, but the ending was completely unsatisfying and ruined it. (Instance 99)",negative
This was an absolutely fantastic movie! The acting was superb and the plot was incredibly engaging. (Instance 100),positive
This was one of the worst movies I have ever seen. Waste of time and money. (Instance 100),negative
I loved this film. It kept me on the edge of my seat the entire time. Highly recommended! (Instance 101),positive
"Terrible acting, boring plot, and awful directing. Avoid this film at all costs. (Instance 101)",negative
"A masterpiece of cinema. The directing, cinematography, and score were all top-notch. (Instance 102)",positive
"I fell asleep halfway through. It was slow, uninspiring, and completely predictable. (Instance 102)",negative
One of the best movies of the year. The characters were well-developed and the story was heartwarming. (Instance 103),positive
A major disappointment. The trailer was much better than the actual movie. (Instance 103),negative
Really enjoyed it. A fun and entertaining watch for the whole family. (Instance 104),positive
Very poorly written. The dialogue felt forced and the characters were annoying. (Instance 104),negative
The performances were stellar. A beautiful story about love and loss. (Instance 105),positive
The special effects were cheap and the acting was wooden. Very disappointing. (Instance 105),negative
I was pleasantly surprised. I went in with low expectations but walked out very happy. (Instance 106),positive
I couldn't stand the main character. The plot made absolutely no sense. (Instance 106),negative
Great movie! The visual effects were amazing and the pacing was just right. (Instance 107),positive
A total mess. The pacing was terrible and it tried to do too many things at once. (Instance 107),negative
A solid 9/10. Highly original script and excellent acting from the lead roles. (Instance 108),positive
"Do not waste your time. It is a cliché-ridden, unoriginal, and dull film. (Instance 108)",negative
I've watched this movie three times now and it never gets old. Truly a classic. (Instance 109),positive
"I wanted to like this, but the ending was completely unsatisfying and ruined it. (Instance 109)",negative
This was an absolutely fantastic movie! The acting was superb and the plot was incredibly engaging. (Instance 110),positive
This was one of the worst movies I have ever seen. Waste of time and money. (Instance 110),negative
I loved this film. It kept me on the edge of my seat the entire time. Highly recommended! (Instance 111),positive
"Terrible acting, boring plot, and awful directing. Avoid this film at all costs. (Instance 111)",negative
"A masterpiece of cinema. The directing, cinematography, and score were all top-notch. (Instance 112)",positive
"I fell asleep halfway through. It was slow, uninspiring, and completely predictable. (Instance 112)",negative
One of the best movies of the year. The characters were well-developed and the story was heartwarming. (Instance 113),positive
A major disappointment. The trailer was much better than the actual movie. (Instance 113),negative
Really enjoyed it. A fun and entertaining watch for the whole family. (Instance 114),positive
Very poorly written. The dialogue felt forced and the characters were annoying. (Instance 114),negative
The performances were stellar. A beautiful story about love and loss. (Instance 115),positive
The special effects were cheap and the acting was wooden. Very disappointing. (Instance 115),negative
I was pleasantly surprised. I went in with low expectations but walked out very happy. (Instance 116),positive
I couldn't stand the main character. The plot made absolutely no sense. (Instance 116),negative
Great movie! The visual effects were amazing and the pacing was just right. (Instance 117),positive
A total mess. The pacing was terrible and it tried to do too many things at once. (Instance 117),negative
A solid 9/10. Highly original script and excellent acting from the lead roles. (Instance 118),positive
"Do not waste your time. It is a cliché-ridden, unoriginal, and dull film. (Instance 118)",negative
I've watched this movie three times now and it never gets old. Truly a classic. (Instance 119),positive
"I wanted to like this, but the ending was completely unsatisfying and ruined it. (Instance 119)",negative
This was an absolutely fantastic movie! The acting was superb and the plot was incredibly engaging. (Instance 120),positive
This was one of the worst movies I have ever seen. Waste of time and money. (Instance 120),negative
I loved this film. It kept me on the edge of my seat the entire time. Highly recommended! (Instance 121),positive
"Terrible acting, boring plot, and awful directing. Avoid this film at all costs. (Instance 121)",negative
"A masterpiece of cinema. The directing, cinematography, and score were all top-notch. (Instance 122)",positive
"I fell asleep halfway through. It was slow, uninspiring, and completely predictable. (Instance 122)",negative
One of the best movies of the year. The characters were well-developed and the story was heartwarming. (Instance 123),positive
A major disappointment. The trailer was much better than the actual movie. (Instance 123),negative
Really enjoyed it. A fun and entertaining watch for the whole family. (Instance 124),positive
Very poorly written. The dialogue felt forced and the characters were annoying. (Instance 124),negative
The performances were stellar. A beautiful story about love and loss. (Instance 125),positive
The special effects were cheap and the acting was wooden. Very disappointing. (Instance 125),negative
I was pleasantly surprised. I went in with low expectations but walked out very happy. (Instance 126),positive
I couldn't stand the main character. The plot made absolutely no sense. (Instance 126),negative
Great movie! The visual effects were amazing and the pacing was just right. (Instance 127),positive
A total mess. The pacing was terrible and it tried to do too many things at once. (Instance 127),negative
A solid 9/10. Highly original script and excellent acting from the lead roles. (Instance 128),positive
"Do not waste your time. It is a cliché-ridden, unoriginal, and dull film. (Instance 128)",negative
I've watched this movie three times now and it never gets old. Truly a classic. (Instance 129),positive
"I wanted to like this, but the ending was completely unsatisfying and ruined it. (Instance 129)",negative
This was an absolutely fantastic movie! The acting was superb and the plot was incredibly engaging. (Instance 130),positive
This was one of the worst movies I have ever seen. Waste of time and money. (Instance 130),negative
I loved this film. It kept me on the edge of my seat the entire time. Highly recommended! (Instance 131),positive
"Terrible acting, boring plot, and awful directing. Avoid this film at all costs. (Instance 131)",negative
"A masterpiece of cinema. The directing, cinematography, and score were all top-notch. (Instance 132)",positive
"I fell asleep halfway through. It was slow, uninspiring, and completely predictable. (Instance 132)",negative
One of the best movies of the year. The characters were well-developed and the story was heartwarming. (Instance 133),positive
A major disappointment. The trailer was much better than the actual movie. (Instance 133),negative
Really enjoyed it. A fun and entertaining watch for the whole family. (Instance 134),positive
Very poorly written. The dialogue felt forced and the characters were annoying. (Instance 134),negative
The performances were stellar. A beautiful story about love and loss. (Instance 135),positive
The special effects were cheap and the acting was wooden. Very disappointing. (Instance 135),negative
I was pleasantly surprised. I went in with low expectations but walked out very happy. (Instance 136),positive
I couldn't stand the main character. The plot made absolutely no sense. (Instance 136),negative
Great movie! The visual effects were amazing and the pacing was just right. (Instance 137),positive
A total mess. The pacing was terrible and it tried to do too many things at once. (Instance 137),negative
A solid 9/10. Highly original script and excellent acting from the lead roles. (Instance 138),positive
"Do not waste your time. It is a cliché-ridden, unoriginal, and dull film. (Instance 138)",negative
I've watched this movie three times now and it never gets old. Truly a classic. (Instance 139),positive
"I wanted to like this, but the ending was completely unsatisfying and ruined it. (Instance 139)",negative
This was an absolutely fantastic movie! The acting was superb and the plot was incredibly engaging. (Instance 140),positive
This was one of the worst movies I have ever seen. Waste of time and money. (Instance 140),negative
I loved this film. It kept me on the edge of my seat the entire time. Highly recommended! (Instance 141),positive
"Terrible acting, boring plot, and awful directing. Avoid this film at all costs. (Instance 141)",negative
"A masterpiece of cinema. The directing, cinematography, and score were all top-notch. (Instance 142)",positive
"I fell asleep halfway through. It was slow, uninspiring, and completely predictable. (Instance 142)",negative
One of the best movies of the year. The characters were well-developed and the story was heartwarming. (Instance 143),positive
A major disappointment. The trailer was much better than the actual movie. (Instance 143),negative
Really enjoyed it. A fun and entertaining watch for the whole family. (Instance 144),positive
Very poorly written. The dialogue felt forced and the characters were annoying. (Instance 144),negative
The performances were stellar. A beautiful story about love and loss. (Instance 145),positive
The special effects were cheap and the acting was wooden. Very disappointing. (Instance 145),negative
I was pleasantly surprised. I went in with low expectations but walked out very happy. (Instance 146),positive
I couldn't stand the main character. The plot made absolutely no sense. (Instance 146),negative
Great movie! The visual effects were amazing and the pacing was just right. (Instance 147),positive
A total mess. The pacing was terrible and it tried to do too many things at once. (Instance 147),negative
A solid 9/10. Highly original script and excellent acting from the lead roles. (Instance 148),positive
"Do not waste your time. It is a cliché-ridden, unoriginal, and dull film. (Instance 148)",negative
I've watched this movie three times now and it never gets old. Truly a classic. (Instance 149),positive
"I wanted to like this, but the ending was completely unsatisfying and ruined it. (Instance 149)",negative
This was an absolutely fantastic movie! The acting was superb and the plot was incredibly engaging. (Instance 150),positive
This was one of the worst movies I have ever seen. Waste of time and money. (Instance 150),negative
I loved this film. It kept me on the edge of my seat the entire time. Highly recommended! (Instance 151),positive
"Terrible acting, boring plot, and awful directing. Avoid this film at all costs. (Instance 151)",negative
"A masterpiece of cinema. The directing, cinematography, and score were all top-notch. (Instance 152)",positive
"I fell asleep halfway through. It was slow, uninspiring, and completely predictable. (Instance 152)",negative
One of the best movies of the year. The characters were well-developed and the story was heartwarming. (Instance 153),positive
A major disappointment. The trailer was much better than the actual movie. (Instance 153),negative
Really enjoyed it. A fun and entertaining watch for the whole family. (Instance 154),positive
Very poorly written. The dialogue felt forced and the characters were annoying. (Instance 154),negative
The performances were stellar. A beautiful story about love and loss. (Instance 155),positive
The special effects were cheap and the acting was wooden. Very disappointing. (Instance 155),negative
I was pleasantly surprised. I went in with low expectations but walked out very happy. (Instance 156),positive
I couldn't stand the main character. The plot made absolutely no sense. (Instance 156),negative
Great movie! The visual effects were amazing and the pacing was just right. (Instance 157),positive
A total mess. The pacing was terrible and it tried to do too many things at once. (Instance 157),negative
A solid 9/10. Highly original script and excellent acting from the lead roles. (Instance 158),positive
"Do not waste your time. It is a cliché-ridden, unoriginal, and dull film. (Instance 158)",negative
I've watched this movie three times now and it never gets old. Truly a classic. (Instance 159),positive
"I wanted to like this, but the ending was completely unsatisfying and ruined it. (Instance 159)",negative
This was an absolutely fantastic movie! The acting was superb and the plot was incredibly engaging. (Instance 160),positive
This was one of the worst movies I have ever seen. Waste of time and money. (Instance 160),negative
I loved this film. It kept me on the edge of my seat the entire time. Highly recommended! (Instance 161),positive
"Terrible acting, boring plot, and awful directing. Avoid this film at all costs. (Instance 161)",negative
"A masterpiece of cinema. The directing, cinematography, and score were all top-notch. (Instance 162)",positive
"I fell asleep halfway through. It was slow, uninspiring, and completely predictable. (Instance 162)",negative
One of the best movies of the year. The characters were well-developed and the story was heartwarming. (Instance 163),positive
A major disappointment. The trailer was much better than the actual movie. (Instance 163),negative
Really enjoyed it. A fun and entertaining watch for the whole family. (Instance 164),positive
Very poorly written. The dialogue felt forced and the characters were annoying. (Instance 164),negative
The performances were stellar. A beautiful story about love and loss. (Instance 165),positive
The special effects were cheap and the acting was wooden. Very disappointing. (Instance 165),negative
I was pleasantly surprised. I went in with low expectations but walked out very happy. (Instance 166),positive
I couldn't stand the main character. The plot made absolutely no sense. (Instance 166),negative
Great movie! The visual effects were amazing and the pacing was just right. (Instance 167),positive
A total mess. The pacing was terrible and it tried to do too many things at once. (Instance 167),negative
A solid 9/10. Highly original script and excellent acting from the lead roles. (Instance 168),positive
"Do not waste your time. It is a cliché-ridden, unoriginal, and dull film. (Instance 168)",negative
I've watched this movie three times now and it never gets old. Truly a classic. (Instance 169),positive
"I wanted to like this, but the ending was completely unsatisfying and ruined it. (Instance 169)",negative
This was an absolutely fantastic movie! The acting was superb and the plot was incredibly engaging. (Instance 170),positive
This was one of the worst movies I have ever seen. Waste of time and money. (Instance 170),negative
I loved this film. It kept me on the edge of my seat the entire time. Highly recommended! (Instance 171),positive
"Terrible acting, boring plot, and awful directing. Avoid this film at all costs. (Instance 171)",negative
"A masterpiece of cinema. The directing, cinematography, and score were all top-notch. (Instance 172)",positive
"I fell asleep halfway through. It was slow, uninspiring, and completely predictable. (Instance 172)",negative
One of the best movies of the year. The characters were well-developed and the story was heartwarming. (Instance 173),positive
A major disappointment. The trailer was much better than the actual movie. (Instance 173),negative
Really enjoyed it. A fun and entertaining watch for the whole family. (Instance 174),positive
Very poorly written. The dialogue felt forced and the characters were annoying. (Instance 174),negative
The performances were stellar. A beautiful story about love and loss. (Instance 175),positive
The special effects were cheap and the acting was wooden. Very disappointing. (Instance 175),negative
I was pleasantly surprised. I went in with low expectations but walked out very happy. (Instance 176),positive
I couldn't stand the main character. The plot made absolutely no sense. (Instance 176),negative
Great movie! The visual effects were amazing and the pacing was just right. (Instance 177),positive
A total mess. The pacing was terrible and it tried to do too many things at once. (Instance 177),negative
A solid 9/10. Highly original script and excellent acting from the lead roles. (Instance 178),positive
"Do not waste your time. It is a cliché-ridden, unoriginal, and dull film. (Instance 178)",negative
I've watched this movie three times now and it never gets old. Truly a classic. (Instance 179),positive
"I wanted to like this, but the ending was completely unsatisfying and ruined it. (Instance 179)",negative
This was an absolutely fantastic movie! The acting was superb and the plot was incredibly engaging. (Instance 180),positive
This was one of the worst movies I have ever seen. Waste of time and money. (Instance 180),negative
I loved this film. It kept me on the edge of my seat the entire time. Highly recommended! (Instance 181),positive
"Terrible acting, boring plot, and awful directing. Avoid this film at all costs. (Instance 181)",negative
"A masterpiece of cinema. The directing, cinematography, and score were all top-notch. (Instance 182)",positive
"I fell asleep halfway through. It was slow, uninspiring, and completely predictable. (Instance 182)",negative
One of the best movies of the year. The characters were well-developed and the story was heartwarming. (Instance 183),positive
A major disappointment. The trailer was much better than the actual movie. (Instance 183),negative
Really enjoyed it. A fun and entertaining watch for the whole family. (Instance 184),positive
Very poorly written. The dialogue felt forced and the characters were annoying. (Instance 184),negative
The performances were stellar. A beautiful story about love and loss. (Instance 185),positive
The special effects were cheap and the acting was wooden. Very disappointing. (Instance 185),negative
I was pleasantly surprised. I went in with low expectations but walked out very happy. (Instance 186),positive
I couldn't stand the main character. The plot made absolutely no sense. (Instance 186),negative
Great movie! The visual effects were amazing and the pacing was just right. (Instance 187),positive
A total mess. The pacing was terrible and it tried to do too many things at once. (Instance 187),negative
A solid 9/10. Highly original script and excellent acting from the lead roles. (Instance 188),positive
"Do not waste your time. It is a cliché-ridden, unoriginal, and dull film. (Instance 188)",negative
I've watched this movie three times now and it never gets old. Truly a classic. (Instance 189),positive
"I wanted to like this, but the ending was completely unsatisfying and ruined it. (Instance 189)",negative
This was an absolutely fantastic movie! The acting was superb and the plot was incredibly engaging. (Instance 190),positive
This was one of the worst movies I have ever seen. Waste of time and money. (Instance 190),negative
